character,wb
早,jhn
曰,"jhng"
早,jhnh
畅快,"jhnn"
畅,"jhnr"
虫,"jhny"
虫类,"jhod"
冒火,"jhoo"
虫害,"jhpd"
迧,"jhpk"
虫灾,"jhpo"
申冤,"jhpq"
早安,"jhpv"
蜆,"jhq"
冒然,"jhqd"
畅销,"jhqi"
冒名,"jhqk"
畅饮,"jhqn"
虫儿,"jhqt"
虫卵,"jhqy"
申报,"jhrb"
早年,"jhrh"
早操,"jhrk"
早逝,"jhrr"
冒失,"jhrw"
申斥,"jhry"
畅想,"jhsh"
申述,"jhsy"
早夭,"jhtd"
早稻,"jhte"
畅行,"jhtf"
冒牌,"jhth"
申奥,"jhtm"
毷,"jhtn"
冒称,"jhtq"
冒着,"jhud"
早前,"jhue"
明眸善睐,"jhuh"
早间,"jhuj"
早产,"jhut"
申辩,"jhuy"
早退,"jhve"
早婚,"jhvq"
虫体,"jhws"
畅叙,"jhwt"
冒领,"jhwy"
明目张胆,"jhxe"
虲,"jhy"
申诫,"jhya"
早熟,"jhyb"
冒充,"jhyc"
申请,"jhyg"
早就,"jhyi"
早衰,"jhyk"
早市,"jhym"
早恋,"jhyo"
申诉,"jhyr"
申说,"jhyu"
晃,"ji"
蟝,"jia"
晃荡,"jiai"
蛸,"jie"
蛸,jieg
晃动,"jifc"
晃晃,"jiji"
螳螂,"jijy"
蟐,"jikh"
蝋,"jimh"
日光灯,"jios"
螳,"jip"
蟐,jiph
蟷,"jipl"
曭,"jipo"
晃,jiq
晃,jiqb
晁,"jiqb"
晀,"jiqn"
临渴掘井,"jirf"
晁盖,"jiug"
临渊羡鱼,"jiuq"
电源线,"jixg"
昌,"jj"
曝,"jja"
临时工,"jjaa"
日期,"jjad"
曝,jjai
日落,"jjai"
晶莹,"jjap"
日薪,"jjau"
日子,"jjbb"
日出,"jjbm"
电影院,"jjbp"
昌隆,"jjbt"
是是非非,"jjdd"
日历,"jjdl"
昌盛,"jjdn"
日月,"jjee"
日用,"jjet"
昌,jjf
日趋,"jjfh"
日进,"jjfj"
昌吉,"jjfk"
日志,"jjfn"
日元,"jjfq"
昌都,"jjft"
蛳,"jjg"
日臻,"jjgc"
蛳,jjgh
日下,"jjgh"
日来,"jjgo"
蝪,"jjgr"
蝐,"jjh"
日渐,"jjil"
日没,"jjim"
日常,"jjip"
曝光,"jjiq"
晶,"jjj"
昌明,"jjje"
晶,jjjf
曡,"jjjg"
日,"jjjj"
蠱,"jjjl"
蝿,"jjjn"
曝晒,"jjjs"
蟲,"jjju"
日照,"jjjv"
昌邑,"jjkc"
日中,"jjkh"
蟃,"jjl"
蝹,"jjlg"
日圆,"jjlk"
日见,"jjmq"
日内,"jjmw"
临时性,"jjnt"
晶粒,"jjou"
日数,"jjov"
日寇,"jjpf"
日军,"jjpl"
星星之火,"jjpo"
暥,"jjpv"
蝎,"jjq"
昌乐,"jjqi"
蝎,jjqn
日蚀,"jjqn"
里里外外,"jjqq"
晹,"jjqr"
日银,"jjqv"
蠍,"jjqw"
日久,"jjqy"
日报,"jjrb"
日后,"jjrg"
旷日持久,"jjrq"
明明白白,"jjrr"
蜾,"jjs"
电影票,"jjsf"
日本,"jjsg"
电影机,"jjsm"
蜾,jjsy
暒,"jjtg"
晶片,"jjth"
日利,"jjtj"
日程,"jjtk"
日币,"jjtm"
日头,"jjud"
日前,"jjue"
日间,"jjuj"
日商,"jjum"
日新,"jjus"
日产,"jjut"
日立,"jjuu"
日益,"jjuw"
日创,"jjwb"
晶体,"jjws"
日人,"jjww"
日化,"jjwx"
日食,"jjwy"
蜫,"jjxx"
暻,"jjy"
日语,"jjyg"
昆明市,"jjym"
日记,"jjyn"
晶亮,"jjyp"
日夜,"jjyw"
时时刻刻,"jjyy"
蝇,"jk"
蜎,"jke"
蜈,"jkg"
曼哈顿,"jkgb"
蜈,jkgd
冔,"jkgf"
蚛,"jkhh"
蝇,jkj
蝇,jkjn
蜈蚣,"jkjw"
暺,"jkkf"
曮,"jkkt"
影响力,"jklt"
蜗,"jkm"
蜗,jkmw
蜗居,"jknd"
蜗牛,"jkrh"
电唱机,"jksm"
皷,"jkuc"
蝇头,"jkud"
暴跳如雷,"jkvf"
电器化,"jkwx"
曙,"jl"
蛊惑,"jlak"
曼联,"jlbu"
曼,"jlc"
鄤,"jlcb"
曼,jlcu
坚固耐用,"jlde"
遇罗克,"jldq"
量力而行,"jldt"
量力而为,"jldy"
蝟,"jle"
蛊,"jlf"
蠌,"jlff"
曙,jlfj
蟔,"jlfo"
蝈,"jlg"
曼丽,"jlgm"
曼殊,"jlgq"
蛊毒,"jlgx"
蝈,jlgy
蛼,"jlh"
曙光,"jliq"
蛔,"jlk"
蛔,jlkg
蜗轮,"jlkw"
蠝,"jll"
蠝,jlll
蛠,"jlll"
电力局,"jlnn"
蠋,"jlq"
曙色,"jlqc"
螺钉,"jlqs"
螹,"jlr"
星罗棋布,"jlsd"
螺杆,"jlsf"
螺栓,"jlsw"
蜠,"jlt"
临界状态,"jlud"
蝹,jlw
曼谷,"jlww"
螺,"jlx"
螺母,"jlxg"
螺,jlxi
螺丝,"jlxx"
螺纹,"jlxy"
螺旋,"jlyt"
遇,"jm"
蛐,"jma"
蛐,jmag
晪,"jmaw"
映出,"jmbm"
遇险,"jmbw"
映对,"jmcf"
遇难,"jmcw"
映,"jmd"
愚蠢,"jmdw"
遇袭,"jmdx"
映,jmdy
螖,"jme"
贤内助,"jmeg"
蚺,"jmf"
暴风雨,"jmfg"
遇救,"jmfi"
晭,"jmfk"
愚顽,"jmfq"
暴风雪,"jmfv"
蚰,"jmg"
愚弄,"jmga"
遇到,"jmgc"
遇事,"jmgk"
遇刺,"jmgm"
日内瓦,"jmgn"
暟,"jmgu"
帅,"jmh"
帅,jmhh
遇上,"jmhh"
颙,"jmhm"
愚,"jmhn"
遇,jmhp
禺,"jmhy"
旵,"jmj"
愚昧,"jmjf"
映照,"jmjv"
蝸,"jmk"
愚忠,"jmkh"
蠳,"jmm"
遇见,"jmmq"
虮,"jmn"
愚民,"jmna"
遇害,"jmpd"
映衬,"jmpu"
蚬,"jmq"
愚钝,"jmqg"
映象,"jmqj"
蚬,jmqn
蛧,"jmqq"
帅气,"jmrn"
帅哥,"jmsk"
遇敌,"jmtd"
映射,"jmtm"
愚笨,"jmts"
映入,"jmty"
蝄,"jmun"
愚痴,"jmut"
蚋,"jmw"
愚公,"jmwc"
遇合,"jmwg"
蠵,"jmwk"
映像,"jmwq"
愚人,"jmww"
蚋,jmwy
映山红,"jmxa"
蛽,"jmy"
蚒,"jmyg"
电风扇,"jmyn"
电,"jn"
电工,"jnaa"
电荷,"jnaw"
电子,"jnbb"
电阻,"jnbe"
影剧院,"jnbp"
电能,"jnce"
电台,"jnck"
蜛,"jnd"
电码,"jndc"
电大,"jndd"
电压,"jndf"
电厂,"jndg"
早已有之,"jndp"
电磁,"jndu"
晓以大义,"jndy"
电脑,"jney"
电动,"jnfc"
野心勃勃,"jnff"
电击,"jnfm"
电场,"jnfn"
电教,"jnft"
蛡,"jng"
电表,"jnge"
电玩,"jngf"
暅,"jngg"
暇,"jnh"
暇,jnhc
蝦,"jnhc"
蝑,"jnhe"
蝞,"jnhg"
暐,"jnhh"
电眼,"jnhv"
电汇,"jnia"
电池,"jnib"
电源,"jnid"
电波,"jnih"
曯,"jnij"
电光,"jniq"
电流,"jniy"
电量,"jnjg"
电影,"jnjy"
电路,"jnkh"
电器,"jnkk"
电车,"jnlg"
电贺,"jnlk"
电力,"jnlt"
电邮,"jnmb"
电网,"jnmq"
虬,"jnn"
蟤,"jnnw"
电焊,"jnoj"
电灯,"jnos"
电料,"jnou"
电炉,"jnoy"
遢,"jnp"
遢,jnpd
野心家,"jnpe"
电容,"jnpw"
电视,"jnpy"
电解,"jnqe"
电鱼,"jnqg"
电铃,"jnqw"
电镀,"jnqy"
电报,"jnrb"
电气,"jnrn"
电白,"jnrr"
旸,"jnrt"
电热,"jnrv"
电极,"jnse"
电机,"jnsm"
电梯,"jnsu"
毾,"jnt"
电告,"jntf"
电算,"jnth"
昵称,"jntq"
曵,"jnty"
电疗,"jnub"
电站,"jnuh"
电,jnv
曜,"jnw"
蟉,"jnwe"
电传,"jnwf"
电位,"jnwu"
电化,"jnwx"
曜,jnwy
电信,"jnwy"
昵,"jnx"
电线,"jnxg"
电缆,"jnxj"
昵,jnxn
蚭,"jnxn"
电弧,"jnxr"
日以继夜,"jnxy"
蚇,"jny"
电离,"jnyb"
电请,"jnyg"
电讯,"jnyn"
电话,"jnyt"
电文,"jnyy"
显,"jo"
显著,"joaf"
显荣,"joap"
显出,"jobm"
显圣,"jocf"
显存,"jodh"
显达,"jodp"
显示,"jofi"
显露,"jofk"
显赫,"jofo"
显教,"joft"
显,jog
显,jogf
曗,"jogi"
显现,"jogm"
显卡,"johh"
显眼,"johv"
显耀,"joiq"
显明,"joje"
易燃易爆,"jojo"
时断时续,"jojx"
显影,"jojy"
显贵,"jokh"
显见,"jomq"
电业局,"jonn"
显性,"jont"
蟧,"jool"
晱,"jooy"
显然,"joqd"
暽,"joqh"
显名,"joqk"
电烙铁,"joqr"
显扬,"jorn"
显要,"josv"
显得,"jotj"
显微,"jotm"
炅,"jou"
蝼,"jov"
蝼,jovg
显灵,"jovo"
显像,"jowq"
显体,"jows"
炚,"joy"
晕,"jp"
晏子,"jpbb"
监察院,"jpbp"
电视台,"jpck"
曢,"jpdi"
螛,"jpdk"
晕厥,"jpdu"
蛇胆,"jpej"
晥,"jpf"
暄,"jpg"
暄,jpgg
蝖,"jpgg"
蝊,"jpgh"
蠙,"jpgm"
坚定不移,"jpgt"
螾,"jpgw"
蛇皮,"jphc"
晕眩,"jphy"
螟,"jpj"
蜿蜒,"jpjt"
暝,"jpju"
明察暗访,"jpjy"
蛇足,"jpkh"
监视器,"jpkk"
晕,jpl
晕车,"jplg"
晖,"jplh"
晕,jplj
电视剧,"jpnd"
晓之以理,"jpng"
蛇类,"jpod"
影视业,"jpog"
蜿,"jpq"
蜿,jpqb
晼,"jpqb"
蛇年,"jprh"
蟾宫折桂,"jprs"
电视机,"jpsm"
晕船,"jpte"
蛇行,"jptf"
螛,jptk
监守自盗,"jptu"
明察秋毫,"jpty"
晏,"jpv"
晏,jpvf
鷃,"jpvo"
鉴定会,"jpwf"
晕倒,"jpwg"
蛇,"jpx"
蛇,jpxn
蛇纹,"jpxy"
晚,"jq"
曻,"jqa"
歇工,"jqaa"
晚节,"jqab"
晚期,"jqad"
歇菜,"jqae"
蚳,"jqag"
剔牙,"jqah"
蚔,"jqan"
昭然若揭,"jqar"
蚳,jqay
昂,"jqb"
遏阻,"jqbe"
昂,jqbj
蝬,"jqbt"
剔除,"jqbw"
蟾,"jqd"
蛫,"jqdb"
晞,"jqdh"
晚辈,"jqdj"
蟾,jqdy
曕,"jqdy"
歇脚,"jqef"
蠏,"jqeh"
易用,"jqet"
易地,"jqfb"
蚐,"jqfg"
晚起,"jqfh"
晚霞,"jqfn"
昂扬,"jqfr"
蛶,jqfy
晚到,"jqgc"
易于,"jqgf"
歇下,"jqgh"
临危不惧,"jqgn"
日久天长,"jqgt"
晚班,"jqgy"
晚上,"jqhh"
晚点,"jqhk"
晚餐,"jqhq"
晚睡,"jqht"
蝜,"jqhw"
易水,"jqii"
易学,"jqip"
蟓,"jqj"
蟓,jqje
蟾蜍,"jqjw"
晚景,"jqjy"
晚,jqk
昫,"jqkg"
昂贵,"jqkh"
煦,"jqko"
晚,jqkq
冕,"jqkq"
蜔,"jqlg"
蝜,jqm
晚风,"jqmq"
易懂,"jqna"
畅销书,"jqnn"
歇业,"jqog"
易燃,"jqoq"
晚宴,"jqpj"
晚安,"jqpv"
昂然,"jqqd"
电饭锅,"jqqk"
晚饭,"jqqn"
蛥,"jqqy"
易,"jqr"
晚报,"jqrb"
敡,"jqrc"
晚年,"jqrh"
剔,"jqrj"
遏制,"jqrm"
昂扬,"jqrn"
鶍,"jqro"
晚近,"jqrp"
遏抑,"jqrq"
易,jqrr
歇手,"jqrt"
昴,"jqt"
昴,jqtb
剔透,"jqte"
剔选,"jqtf"
晚生,"jqtg"
歇息,"jqth"
昀,"jqu"
晚装,"jquf"
昀,jqug
晚间,"jquj"
昂首,"jqut"
蜭,"jqv"
晚婚,"jqvq"
易姓,"jqvt"
歇,"jqw"
晚会,"jqwf"
鹖,"jqwg"
电饭煲,"jqwk"
曷,"jqwn"
鶡,"jqwo"
遏,"jqwp"
影印件,"jqwr"
易位,"jqwu"
歇,jqww
易人,"jqww"
易货,"jqwx"
欥,"jqwy"
易经,"jqxc"
旳,"jqy"
晚熟,"jqyb"
晚育,"jqyc"
易读,"jqyf"
虳,"jqyy"
蝗,"jr"
昄,"jrc"
昄,jrcy
蛌,"jrcy"
暤,"jrdf"
蜂拥而来,"jrdg"
蝗,jrg
蝗,jrgg
蚯,"jrgg"
坚持不懈,"jrgn"
蚚,"jrh"
螔,"jrhq"
蛛,"jri"
暭,"jrif"
蛛,jriy
蚯蚓,"jrjx"
电热器,"jrkk"
蟱,"jrlo"
蛛网,"jrmq"
电报局,"jrnn"
紧迫性,"jrnt"
遏制,"jrqm"
晣,"jrrh"
易拉罐,"jrrm"
蜱,"jrtf"
紧接着,"jrud"
昳,"jrw"
电气化,"jrwx"
畅所欲言,"jrwy"
曒,"jryt"
蚸,"jryy"
果,"js"
果菜,"jsae"
果子,"jsbb"
晒台,"jsck"
颗,"jsd"
颗,jsdm
褁,"jse"
果腹,"jset"
果胶,"jseu"
螵,"jsf"
果地,"jsfb"
果真,"jsfh"
螵,jsfi
晒场,"jsfn"
晒,"jsg"
归根到底,"jsgy"
虰,"jsh"
果皮,"jshc"
果,jsi
果汁,"jsif"
果酒,"jsis"
曋,"jsj"
蟫,"jsjh"
果蝇,"jsjk"
明枪暗箭,"jsjt"
蚵,"jsk"
蚵,jskg
果品,"jskk"
果园,"jslf"
夥同,"jsmg"
果肉,"jsmw"
果敢,"jsnb"
果断,"json"
颗粒,"jsou"
果糖,"jsoy"
照本宣科,"jspt"
果实,"jspu"
夥,"jsq"
果然,"jsqd"
照相馆,"jsqn"
夥,jsqq
晰,"jsr"
晰,jsrh
蜥,"jsrh"
果树,"jssc"
照相机,"jssm"
果木,"jsss"
果核,"jssy"
果盘,"jste"
果物,"jstr"
杲,"jsu"
果决,"jsun"
果酱,"jsuq"
蜙,"jsw"
果仁,"jswf"
果位,"jswu"
夥众,"jsww"
归根结底,"jsxy"
蚞,"jsy"
夥计,"jsyf"
昨,"jt"
昇,"jta"
监工,"jtaa"
星期,"jtad"
临摹,"jtaj"
虴,"jtan"
星子,"jtbb"
星际,"jtbf"
临阵,"jtbl"
临了,"jtbn"
监院,"jtbp"
星驰,"jtcb"
星马,"jtcn"
临难,"jtcw"
蜂,"jtd"
星辰,"jtdf"
蛞,"jtdg"
蜂,jtdh
蜘,"jtdk"
明知故犯,"jtdq"
里程碑,"jtdr"
蟠龙,"jtdx"
星月,"jtee"
日积月累,"jtel"
蜏,"jten"
览胜,"jtet"
蚝,"jtf"
临去,"jtfc"
临走,"jtfh"
晧,"jtfk"
蚝,jtfn
临场,"jtfn"
蜓,"jtfp"
监考,"jtft"
临幸,"jtfu"
星,"jtg"
星形,"jtga"
临到,"jtgc"
昨天,"jtgd"
日程表,"jtge"
星,jtgf
鉴于,"jtgf"
蜂王,"jtgg"
监理,"jtgj"
监事,"jtgk"
曛,"jtgo"
临死,"jtgq"
临末,"jtgs"
昨,jth
蝂,"jthc"
螑,"jthd"
昨,jthf
蚱,"jthf"
蜵,"jthh"
监督,"jthi"
临战,"jthk"
螅,"jthn"
蜒,"jthp"
暞,"jths"
临睡,"jtht"
临江,"jtia"
星湖,"jtid"
临溪,"jtie"
临清,"jtig"
监测,"jtim"
鉴赏,"jtip"
星光,"jtiq"
临沂,"jtir"
星河,"jtis"
临海,"jtit"
晦涩,"jtiv"
临济,"jtiy"
蜊,"jtj"
蚱蜢,"jtjb"
临时,"jtjf"
蜊,jtjh
昨日,"jtjj"
昨晚,"jtjq"
蜘蛛,"jtjr"
蟍,"jtjs"
星星,"jtjt"
晦暗,"jtju"
蟋蟀,"jtjy"
蝺,"jtk"
蝺,jtkc
蛒,"jtkg"
紧箍咒,"jtkk"
鉴别,"jtkl"
监听,"jtkr"
临川,"jtkt"
螝,"jtlc"
蟌,"jtln"
临界,"jtlw"
螕,"jtlx"
晌,"jtm"
晌,jtmk
晑,"jtmk"
临风,"jtmq"
虼,"jtn"
蜧,"jtnd"
蛾眉,"jtnh"
虼,jtnn
螐,"jtno"
昈,"jtnt"
蟋,"jto"
蟠,"jtol"
蟋,jton
星火,"jtoo"
鉴定,"jtpg"
蜂蜜,"jtpn"
监牢,"jtpr"
临安,"jtpv"
监察,"jtpw"
监视,"jtpy"
临危,"jtqd"
景德镇,"jtqf"
星象,"jtqj"
监狱,"jtqt"
显微镜,"jtqu"
蜂鸟,"jtqy"
蛾,"jtr"
蜂拥,"jtre"
监押,"jtrl"
监制,"jtrm"
晦气,"jtrn"
监控,"jtrp"
蛾,jtrt
监护,"jtry"
监票,"jtsf"
星相,"jtsh"
蟠桃,"jtsi"
监禁,"jtss"
临检,"jtsw"
临行,"jttf"
监管,"jttp"
监委,"jttv"
蝌,"jtu"
星状,"jtud"
蝌,jtuf
星斗,"jtuf"
星移斗转,"jtul"
昸,jtuy
蜲,"jtvg"
蜂巢,"jtvj"
蟂,"jtvs"
星群,"jtvt"
暰,"jtw"
监修,"jtwh"
星体,"jtws"
临盆,"jtwv"
暗箭伤人,"jtww"
电算化,"jtwx"
晦,"jtx"
临终,"jtxt"
晦,jtxu
临,"jty"
监试,"jtya"
星主,"jtyg"
临,jtyj
监,"jtyl"
监房,"jtyn"
鉴,"jtyq"
临床,"jtys"
昨夜,"jtyw"
鉴谅,"jtyy"
暗,"ju"
蛢,"jua"
暗藏,"juad"
蟙,"juaj"
蝉联,"jubu"
蛘,"jud"
暛,"juda"
蜷,"judb"
暗码,"judc"
蛘,judh
蟮,"judk"
蜣,"judn"
暗礁,"judw"
蛟龙,"judx"
曨,"jue"
蠬,"jued"
日新月异,"juen"
昱,"juf"
暗地,"jufb"
蚪,"jufh"
暗示,"jufi"
曦,"jug"
时间表,"juge"
曦,jugt
蟻,"jugt"
日益频繁,"juht"
暗渠,"juia"
暗潮,"juif"
乾闼婆,"juih"
暗淡,"juio"
暗沟,"juiq"
暗流,"juiy"
暗,juj
明辨是非,"jujd"
曈,"jujf"
暗,jujg
蟑,"jujh"
时冷时热,"jujr"
暗暗,"juju"
蟑螂,"jujy"
蜕,"juk"
暗号,"jukg"
暗中,"jukh"
暗器,"jukk"
蜕,jukq
蝉鸣,"jukq"
照章办事,"julg"
晕头转向,"jult"
螪,"jum"
蜷曲,"juma"
蝉翼,"junl"
时间性,"junt"
螃,"jup"
暗害,"jupd"
暗室,"jupg"
螃,jupy
蛟,"juq"
暗色,"juqc"
螃蟹,"juqe"
蠀,"juqm"
暗杀,"juqs"
蛟,juqy
晈,"juqy"
蝤,"jus"
蝤,jusg
暗想,"jush"
噺,"jusr"
螏,"jut"
暗盘,"jute"
暗处,"juth"
电冰箱,"juts"
暗箭,"jutu"
暗病,"juug"
昂首阔步,"juuh"
暗疾,"juut"
暗娼,"juvj"
螊,"juvo"
蜷伏,"juwd"
螠,"juwl"
暗伤,"juwt"
蜕化,"juwx"
暗含,"juwy"
晜,"jux"
暗红,"juxa"
蜷缩,"juxp"
螆,"juxx"
暗语,"juyg"
时装店,"juyh"
暗记,"juyn"
暗恋,"juyo"
暗访,"juyy"
归,"jv"
蟳,"jva"
归期,"jvad"
昭著,"jvaf"
归功,"jval"
归敬,"jvaq"
旯,"jvb"
照出,"jvbm"
归隐,"jvbq"
归队,"jvbw"
蝍,"jvcb"
昭通,"jvce"
照顾,"jvdb"
照面,"jvdm"
蛝,"jve"
螁,"jvep"
妟,"jvf"
归真,"jvfh"
昭示,"jvfi"
归元,"jvfq"
归老,"jvft"
昭雪,"jvfv"
归,jvg
照到,"jvgc"
归于,"jvgf"
归正,"jvgh"
归还,"jvgi"
照理,"jvgj"
归来,"jvgo"
螋,"jvh"
螋,jvhc
照旧,"jvhj"
蟰,"jvhn"
照常,"jvip"
照耀,"jviq"
照明,"jvje"
照映,"jvjm"
昭显,"jvjo"
照,"jvk"
归顺,"jvkd"
昭,"jvkg"
归口,"jvkk"
照,jvko
蠟,"jvl"
归罪,"jvld"
归国,"jvlg"
照办,"jvlw"
旫,"jvn"
照发,"jvnt"
归心,"jvny"
归类,"jvod"
照料,"jvou"
归宗,"jvpf"
帰,"jvph"
归宁,"jvps"
照实,"jvpu"
归案,"jvpv"
归宿,"jvpw"
晲,"jvq"
昭然,"jvqd"
蜺,"jvqn"
妟,jvr
照看,"jvrh"
照抄,"jvri"
照搬,"jvrt"
归西,"jvsg"
照相,"jvsh"
归档,"jvsi"
照样,"jvsu"
归根,"jvsv"
昭告,"jvtf"
照片,"jvth"
昭和,"jvtk"
照射,"jvtm"
照管,"jvtp"
归入,"jvty"
归并,"jvua"
照着,"jvud"
昭彰,"jvuj"
归公,"jvwc"
归仁,"jvwf"
照例,"jvwg"
照像,"jvwq"
归途,"jvwt"
归位,"jvwu"
归人,"jvww"
归化,"jvwx"
归依,"jvwy"
归结,"jvxf"
归纳,"jvxm"
照缴,"jvxr"
归乡,"jvxt"
照度,"jvya"
归诸,"jvyf"
照应,"jvyi"
照亮,"jvyp"
照说,"jvyu"
蛤,"jw"
蟘,"jwa"
蚮,"jway"
龁,"jwbn"
蚣,"jwc"
暡,"jwcn"
蚣,jwcy
昖,"jwcy"
昣,"jwet"
蚹,"jwf"
暩,jwfi
暌违,"jwfn"
电化教育,"jwfy"
蛤,jwg
蜦,"jwga"
昤,"jwgc"
暌,"jwgd"
蝓,"jwgj"
蛤,jwgk
蚙,"jwgn"
最低点,"jwhk"
螩,"jwhs"
归依法,"jwif"
蚧,"jwj"
蛤蟆,"jwja"
蚧,jwjh
蛤蜊,"jwjt"
蛻,"jwk"
螄,"jwn"
电信局,"jwnn"
蚥,"jwq"
电传机,"jwsm"
蜍,"jwt"
明信片,"jwth"
愚公移山,"jwtm"
晶体管,"jwtp"
蜍,jwty
昐,"jwv"
蚡,"jwvn"
蛜,"jwvt"
紧俏货,"jwwx"
晔,"jwx"
晔,jwxf
暹,"jwy"
蛉,"jwyc"
蜼,"jwyg"
晗,"jwyk"
昑,jwyn
蟭,"jwyo"
暹,jwyp
昆,"jx"
昆阳,"jxbj"
曳,"jxe"
蝝,"jxey"
坚强不屈,"jxgn"
蚓,"jxh"
蚓,jxhh
昲,"jxj"
昆明,"jxje"
昆虫,"jxjh"
曊,"jxjm"
蚴,"jxl"
蚴,jxln
昆曲,"jxma"
昆山,"jxmm"
昆剧,"jxnd"
螺丝钉,"jxqs"
曏,"jxt"
昆仲,"jxwk"
昆仑,"jxwx"
昆,jxx
昆,jxxb
蜌,"jxxf"
鹍,"jxxg"
顯,"jxxm"
蚍,"jxxn"
鵾,"jxxo"
蝔,"jxxr"
蟣,"jxxt"
歞,"jxxw"
景,"jy"
旷工,"jyaa"
蛀牙,"jyah"
景慕,"jyaj"
旷世,"jyan"
蟅,"jyao"
景区,"jyaq"
昘,"jyb"
影子,"jybb"
螭,"jybc"
旷职,"jybk"
影院,"jybp"
暾,jybt
蜟,"jyce"
景观,"jycm"
昿,"jycy"
影碟,"jyda"
旷地,"jyfb"
影城,"jyfd"
影坛,"jyff"
晾干,"jyfg"
蠩,"jyfj"
蛀,"jyg"
景致,"jygc"
时刻表,"jyge"
蛀,jygg
景颇,"jyhc"
景点,"jyhk"
景,jyi
影,"jyie"
颢,"jyim"
景深,"jyip"
景,jyiu
晾,"jyiy"
蛴,"jyj"
旷野,"jyjf"
蝙蝠,"jyjg"
蛴,jyjh
蚊虫,"jyjh"
蚊蝇,"jyjk"
蚊蚋,"jyjm"
晾晒,"jyjs"
影星,"jyjt"
曩,"jyk"
电话号码,"jykd"
曩,jyke
蠰,"jyke"
影响,"jykt"
蟺,"jyl"
影圈,"jylu"
蚢,"jym"
暠,"jymk"
虻,"jyn"
影展,"jyna"
影剧,"jynd"
昹,"jyni"
虻,jynn
申请书,"jynn"
昈,jynt
晐,"jynw"
螰,"jynx"
影业,"jyog"
影迷,"jyop"
蝏,"jyp"
蠔,"jype"
影视,"jypy"
蚁,"jyq"
景色,"jyqc"
影印,"jyqg"
景象,"jyqj"
里应外合,"jyqw"
蚁,jyqy
景气,"jyrn"
日记本,"jysg"
电话机,"jysm"
影楼,"jyso"
旷,"jyt"
暆,"jytb"
景德,"jytf"
影片,"jyth"
蚊香,"jytj"
影射,"jytm"
蟡,"jyto"
景物,"jytr"
电讯稿,"jyty"
旻,"jyu"
景美,"jyug"
影音,"jyuj"
景况,"jyuk"
蠊,"jyuo"
蝷,"jyut"
螂,"jyv"
螂,jyvb
螗,"jyvk"
晬,"jyw"
蜶,"jywf"
影像,"jywq"
申请人,"jyww"
影集,"jywy"
蟀,"jyx"
蟀,jyxf
电话费,"jyxj"
昡,"jyxy"
蚊,"jyy"
影评,"jyyg"
旷课,"jyyj"
旷废,"jyyn"
中,"k"
呀,"ka"
咬牙切齿,"kaah"
中草药,"kaax"
哄骗,"kacy"
嘶,"kad"
喏,"kadk"
啿,"kadn"
哈萨克,"kadq"
嘶,kadr
唭,"kadw"
口若悬河,"kaei"
咁,"kaf"
嚡,"kaff"
咁,kafg
嘞,"kafl"
哐,"kag"
哐,kagg
叫苦不迭,"kagr"
叶黄素,"kagx"
呀,kah
嚂,"kahl"
囕,"kahq"
呀,kaht
中共党员,"kaik"
噶,"kaj"
嗼,"kajd"
唶,"kajg"
囆,"kajj"
噶,kajn
叶落归根,"kajs"
噧,"kajy"
哎呀,"kaka"
呕吐,"kakf"
嘶哑,"kakg"
中共中央,"kakm"
嘶叫,"kakn"
唠叨,"kakv"
哐啷,"kaky"
喵,"kal"
喵,kalg
叫苦连天,"kalg"
咂,"kam"
咂,kamh
唝,"kamy"
呓,"kan"
呓,kann
呭,"kann"
喋,"kans"
呕心,"kany"
唠,"kap"
唠,kapl
哎,"kaq"
噆,"kaqj"
哎,kaqy
呕,"kaqy"
哄抬,"karc"
呕气,"karn"
顺藤摸瓜,"karr"
哄抢,"karw"
哓,"kat"
喋血,"katl"
哓,katq
顺其自然,"katq"
哄笑,"katt"
吃苦头,"kaud"
囒,"kaui"
嚥,"kauo"
哄,"kaw"
嚄,"kawc"
哄传,"kawf"
嗒,"kawk"
嗏,"kaws"
嚿,"kawv"
哄人,"kaww"
哄,kawy
跨世纪,"kaxn"
嚆,"kay"
呓语,"kayg"
嚆,kayk
啊,"kb"
囁,"kbb"
嗫,"kbc"
嗫,kbcc
唨,"kbeg"
咠,"kbf"
叩击,"kbfm"
吼声,"kbfn"
吇,"kbg"
只限于,"kbgf"
叩,"kbh"
嗤,"kbhj"
啊呀,"kbka"
吼叫,"kbkn"
啊哈,"kbkw"
吴承恩,"kbld"
咄,"kbm"
咄,kbmh
吼,"kbn"
别出心裁,"kbnf"
吼,kbnn
戢,"kbnt"
口出狂言,"kbqy"
叩拜,"kbrd"
啊,kbs
啊,kbsk
噋,"kbty"
叩头,"kbud"
中联部,"kbuk"
叩首,"kbut"
叩门,"kbuy"
贵阳市,"kbym"
叩谢,"kbyt"
吧,"kc"
邑,"kcb"
嗓子,"kcbb"
噊,"kcbk"
嗓,"kcc"
啜,"kccc"
嘇,"kcce"
吧台,"kcck"
嗓,kccs
嗵,"kce"
叹服,"kceb"
嗵,kcep
吗,"kcg"
患难与共,"kcga"
串通一气,"kcgr"
啜泣,"kciu"
咍,"kck"
吗啡,"kckd"
吮吸,"kcke"
咍,kckg
唉哟,"kckx"
吧,kcn
